Starting ALU Testbench...
op=000, A= 0, B= 0 => Y=0000, C=0, OVF=0, Z=1, S=0
op=000, A= 0, B= 1 => Y=0001, C=0, OVF=0, Z=0, S=0
op=000, A= 0, B= 2 => Y=0010, C=0, OVF=0, Z=0, S=0
op=000, A= 0, B= 3 => Y=0011, C=0, OVF=0, Z=0, S=0
op=000, A= 0, B= 4 => Y=0100, C=0, OVF=0, Z=0, S=0
op=000, A= 0, B= 5 => Y=0101, C=0, OVF=0, Z=0, S=0
op=000, A= 0, B= 6 => Y=0110, C=0, OVF=0, Z=0, S=0
op=000, A= 0, B= 7 => Y=0111, C=0, OVF=0, Z=0, S=0
op=000, A= 0, B= 8 => Y=1000, C=0, OVF=0, Z=0, S=1
op=000, A= 0, B= 9 => Y=1001, C=0, OVF=0, Z=0, S=1
op=000, A= 0, B=10 => Y=1010, C=0, OVF=0, Z=0, S=1
op=000, A= 0, B=11 => Y=1011, C=0, OVF=0, Z=0, S=1
op=000, A= 0, B=12 => Y=1100, C=0, OVF=0, Z=0, S=1
op=000, A= 0, B=13 => Y=1101, C=0, OVF=0, Z=0, S=1
op=000, A= 0, B=14 => Y=1110, C=0, OVF=0, Z=0, S=1
op=000, A= 0, B=15 => Y=1111, C=0, OVF=0, Z=0, S=1
op=000, A= 1, B= 0 => Y=0001, C=0, OVF=0, Z=0, S=0
op=000, A= 1, B= 1 => Y=0010, C=0, OVF=0, Z=0, S=0
op=000, A= 1, B= 2 => Y=0011, C=0, OVF=0, Z=0, S=0
op=000, A= 1, B= 3 => Y=0100, C=0, OVF=0, Z=0, S=0
op=000, A= 1, B= 4 => Y=0101, C=0, OVF=0, Z=0, S=0
op=000, A= 1, B= 5 => Y=0110, C=0, OVF=0, Z=0, S=0
op=000, A= 1, B= 6 => Y=0111, C=0, OVF=0, Z=0, S=0
op=000, A= 1, B= 7 => Y=1000, C=0, OVF=1, Z=0, S=1
op=000, A= 1, B= 8 => Y=1001, C=0, OVF=0, Z=0, S=1
op=000, A= 1, B= 9 => Y=1010, C=0, OVF=0, Z=0, S=1
op=000, A= 1, B=10 => Y=1011, C=0, OVF=0, Z=0, S=1
op=000, A= 1, B=11 => Y=1100, C=0, OVF=0, Z=0, S=1
op=000, A= 1, B=12 => Y=1101, C=0, OVF=0, Z=0, S=1
op=000, A= 1, B=13 => Y=1110, C=0, OVF=0, Z=0, S=1
op=000, A= 1, B=14 => Y=1111, C=0, OVF=0, Z=0, S=1
op=000, A= 1, B=15 => Y=0000, C=1, OVF=0, Z=1, S=0
op=000, A= 2, B= 0 => Y=0010, C=0, OVF=0, Z=0, S=0
op=000, A= 2, B= 1 => Y=0011, C=0, OVF=0, Z=0, S=0
op=000, A= 2, B= 2 => Y=0100, C=0, OVF=0, Z=0, S=0
op=000, A= 2, B= 3 => Y=0101, C=0, OVF=0, Z=0, S=0
op=000, A= 2, B= 4 => Y=0110, C=0, OVF=0, Z=0, S=0
op=000, A= 2, B= 5 => Y=0111, C=0, OVF=0, Z=0, S=0
op=000, A= 2, B= 6 => Y=1000, C=0, OVF=1, Z=0, S=1
op=000, A= 2, B= 7 => Y=1001, C=0, OVF=1, Z=0, S=1
op=000, A= 2, B= 8 => Y=1010, C=0, OVF=0, Z=0, S=1
op=000, A= 2, B= 9 => Y=1011, C=0, OVF=0, Z=0, S=1
op=000, A= 2, B=10 => Y=1100, C=0, OVF=0, Z=0, S=1
op=000, A= 2, B=11 => Y=1101, C=0, OVF=0, Z=0, S=1
op=000, A= 2, B=12 => Y=1110, C=0, OVF=0, Z=0, S=1
op=000, A= 2, B=13 => Y=1111, C=0, OVF=0, Z=0, S=1
op=000, A= 2, B=14 => Y=0000, C=1, OVF=0, Z=1, S=0
op=000, A= 2, B=15 => Y=0001, C=1, OVF=0, Z=0, S=0
op=000, A= 3, B= 0 => Y=0011, C=0, OVF=0, Z=0, S=0
op=000, A= 3, B= 1 => Y=0100, C=0, OVF=0, Z=0, S=0
op=000, A= 3, B= 2 => Y=0101, C=0, OVF=0, Z=0, S=0
op=000, A= 3, B= 3 => Y=0110, C=0, OVF=0, Z=0, S=0
op=000, A= 3, B= 4 => Y=0111, C=0, OVF=0, Z=0, S=0
op=000, A= 3, B= 5 => Y=1000, C=0, OVF=1, Z=0, S=1
op=000, A= 3, B= 6 => Y=1001, C=0, OVF=1, Z=0, S=1
op=000, A= 3, B= 7 => Y=1010, C=0, OVF=1, Z=0, S=1
op=000, A= 3, B= 8 => Y=1011, C=0, OVF=0, Z=0, S=1
op=000, A= 3, B= 9 => Y=1100, C=0, OVF=0, Z=0, S=1
op=000, A= 3, B=10 => Y=1101, C=0, OVF=0, Z=0, S=1
op=000, A= 3, B=11 => Y=1110, C=0, OVF=0, Z=0, S=1
op=000, A= 3, B=12 => Y=1111, C=0, OVF=0, Z=0, S=1
op=000, A= 3, B=13 => Y=0000, C=1, OVF=0, Z=1, S=0
op=000, A= 3, B=14 => Y=0001, C=1, OVF=0, Z=0, S=0
op=000, A= 3, B=15 => Y=0010, C=1, OVF=0, Z=0, S=0
op=000, A= 4, B= 0 => Y=0100, C=0, OVF=0, Z=0, S=0
op=000, A= 4, B= 1 => Y=0101, C=0, OVF=0, Z=0, S=0
op=000, A= 4, B= 2 => Y=0110, C=0, OVF=0, Z=0, S=0
op=000, A= 4, B= 3 => Y=0111, C=0, OVF=0, Z=0, S=0
op=000, A= 4, B= 4 => Y=1000, C=0, OVF=1, Z=0, S=1
op=000, A= 4, B= 5 => Y=1001, C=0, OVF=1, Z=0, S=1
op=000, A= 4, B= 6 => Y=1010, C=0, OVF=1, Z=0, S=1
op=000, A= 4, B= 7 => Y=1011, C=0, OVF=1, Z=0, S=1
op=000, A= 4, B= 8 => Y=1100, C=0, OVF=0, Z=0, S=1
op=000, A= 4, B= 9 => Y=1101, C=0, OVF=0, Z=0, S=1
op=000, A= 4, B=10 => Y=1110, C=0, OVF=0, Z=0, S=1
op=000, A= 4, B=11 => Y=1111, C=0, OVF=0, Z=0, S=1
op=000, A= 4, B=12 => Y=0000, C=1, OVF=0, Z=1, S=0
op=000, A= 4, B=13 => Y=0001, C=1, OVF=0, Z=0, S=0
op=000, A= 4, B=14 => Y=0010, C=1, OVF=0, Z=0, S=0
op=000, A= 4, B=15 => Y=0011, C=1, OVF=0, Z=0, S=0
op=000, A= 5, B= 0 => Y=0101, C=0, OVF=0, Z=0, S=0
op=000, A= 5, B= 1 => Y=0110, C=0, OVF=0, Z=0, S=0
op=000, A= 5, B= 2 => Y=0111, C=0, OVF=0, Z=0, S=0
op=000, A= 5, B= 3 => Y=1000, C=0, OVF=1, Z=0, S=1
op=000, A= 5, B= 4 => Y=1001, C=0, OVF=1, Z=0, S=1
op=000, A= 5, B= 5 => Y=1010, C=0, OVF=1, Z=0, S=1
op=000, A= 5, B= 6 => Y=1011, C=0, OVF=1, Z=0, S=1
op=000, A= 5, B= 7 => Y=1100, C=0, OVF=1, Z=0, S=1
op=000, A= 5, B= 8 => Y=1101, C=0, OVF=0, Z=0, S=1
op=000, A= 5, B= 9 => Y=1110, C=0, OVF=0, Z=0, S=1
op=000, A= 5, B=10 => Y=1111, C=0, OVF=0, Z=0, S=1
